MD_EARN_WNE_P10,STUFACR,STUFACR,C150_4,ADM_RATE,MD_EARN_WNE_P10
18715.0,20.0,20.0,,,18715.0
34653.0,12.0,12.0,,,34653.0
41513.0,8.0,8.0,,,41513.0
51673.0,12.0,12.0,0.6506,0.7232,51673.0
37374.0,12.0,12.0,,,37374.0
29314.0,13.0,13.0,,,29314.0
44384.0,14.0,14.0,0.4096,0.6008,44384.0
34924.0,20.0,20.0,,1.0,34924.0
38427.0,11.0,11.0,0.3047,,38427.0
29552.0,10.0,10.0,,,29552.0
33603.0,9.0,9.0,,,33603.0
26754.0,14.0,14.0,,,26754.0
34722.0,15.0,15.0,,,34722.0
34162.0,12.0,12.0,,,34162.0
30037.0,16.0,16.0,,,30037.0
20077.0,18.0,18.0,,,20077.0
19896.0,25.0,25.0,,,19896.0
,12.0,12.0,,,
38484.0,16.0,16.0,0.4495,0.5931,38484.0
34521.0,13.0,13.0,,,34521.0
42386.0,15.0,15.0,0.4454,0.6361,42386.0
36376.0,11.0,11.0,,,36376.0
17412.0,15.0,15.0,,,17412.0
41102.0,19.0,19.0,0.4208,,41102.0
39008.0,15.0,15.0,0.4385,,39008.0
,,,,,
42563.0,30.0,30.0,,,42563.0
42786.0,22.0,22.0,,,42786.0
27019.0,12.0,12.0,,0.9011,27019.0
,2.0,2.0,,,
,,,,,
22481.0,25.0,25.0,,,22481.0
38430.0,31.0,31.0,,,38430.0
40162.0,27.0,27.0,,,40162.0
36526.0,22.0,22.0,0.3036,,36526.0
71958.0,8.0,8.0,0.7547,0.7097,71958.0
24368.0,15.0,15.0,,,24368.0
26688.0,12.0,12.0,,,26688.0
66677.0,10.0,10.0,0.6127,0.87,66677.0
37291.0,28.0,28.0,0.2223,,37291.0
35104.0,21.0,21.0,,,35104.0
23576.0,20.0,20.0,,,23576.0
,15.0,15.0,0.0,,
56778.0,13.0,13.0,0.7206,0.5663,56778.0
68767.0,15.0,15.0,,,68767.0
