MD_EARN_WNE_P10,STUFACR,STUFACR,C150_4,ADM_RATE,MD_EARN_WNE_P10
,,,,,
58063.0,16.0,16.0,0.5817,0.8486,58063.0
48102.0,9.0,9.0,0.5569,0.9245,48102.0
43993.0,10.0,10.0,,,43993.0
45391.0,12.0,12.0,,,45391.0
92538.0,16.0,16.0,0.9124,0.068,92538.0
42862.0,18.0,18.0,,,42862.0
51540.0,10.0,10.0,0.7485,0.9091,51540.0
,,,,,
52506.0,18.0,18.0,0.159,,52506.0
45949.0,14.0,14.0,,,45949.0
52873.0,9.0,9.0,0.6695,0.8877,52873.0
38773.0,15.0,15.0,,,38773.0
,6.0,6.0,,,
56662.0,12.0,12.0,0.5536,0.9266,56662.0
63494.0,7.0,7.0,0.7445,0.7646,63494.0
46543.0,6.0,6.0,0.6483,0.9545,46543.0
64027.0,8.0,8.0,0.8853,0.2286,64027.0
,7.0,7.0,,0.3099,
48036.0,11.0,11.0,0.7301,0.7563,48036.0
36966.0,15.0,15.0,,,36966.0
68804.0,15.0,15.0,0.5458,0.9552,68804.0
77745.0,12.0,12.0,0.7907,0.7344,77745.0
67506.0,13.0,13.0,0.6036,0.8679,67506.0
,12.0,12.0,,,
83214.0,10.0,10.0,0.9371,0.0969,83214.0
84803.0,7.0,7.0,0.9017,0.1357,84803.0
82721.0,17.0,17.0,0.6876,0.9231,82721.0
73157.0,11.0,11.0,0.6745,0.8801,73157.0
57346.0,14.0,14.0,0.5981,0.8151,57346.0
67725.0,11.0,11.0,0.7973,0.7948,67725.0
88665.0,6.0,6.0,0.9511,0.085,88665.0
103470.0,13.0,13.0,0.8893,0.5748,103470.0
60624.0,14.0,14.0,0.5885,0.8766,60624.0
55504.0,16.0,16.0,0.5061,0.6906,55504.0
58799.0,11.0,11.0,0.592,0.6652,58799.0
17793.0,10.0,10.0,,,17793.0
41237.0,25.0,25.0,,,41237.0
54742.0,14.0,14.0,0.6219,0.6465,54742.0
36442.0,14.0,14.0,0.4397,,36442.0
53187.0,10.0,10.0,0.7079,0.9127,53187.0
49584.0,11.0,11.0,0.6115,0.9078,49584.0
35833.0,8.0,8.0,0.2007,0.3665,35833.0
35090.0,17.0,17.0,,,35090.0
24471.0,8.0,8.0,,,24471.0
58375.0,12.0,12.0,0.7696,0.7421,58375.0
,,,,,
38244.0,4.0,4.0,,,38244.0
,,,,,
55874.0,17.0,17.0,0.6172,0.7895,55874.0
32538.0,17.0,17.0,,,32538.0
22377.0,19.0,19.0,,,22377.0
54186.0,13.0,13.0,0.6364,0.6753,54186.0
56075.0,11.0,11.0,0.5176,0.7018,56075.0
,,,,,
44860.0,10.0,10.0,0.6406,0.492,44860.0
45099.0,16.0,16.0,0.5009,0.9891,45099.0
22973.0,20.0,20.0,,,22973.0
37781.0,15.0,15.0,,,37781.0
26702.0,12.0,12.0,,0.6522,26702.0
62575.0,23.0,23.0,,0.9907,62575.0
71030.0,11.0,11.0,0.7294,0.9053,71030.0
29392.0,15.0,15.0,,,29392.0
51793.0,14.0,14.0,0.4542,0.8323,51793.0
,19.0,19.0,,,
54735.0,15.0,15.0,0.4936,0.8788,54735.0
37540.0,23.0,23.0,,,37540.0
94823.0,12.0,12.0,0.6934,0.8075,94823.0
40950.0,12.0,12.0,,,40950.0
41663.0,15.0,15.0,0.5327,0.9966,41663.0
47314.0,15.0,15.0,0.6168,0.8178,47314.0
38377.0,18.0,18.0,,,38377.0
56118.0,15.0,15.0,0.6628,0.9037,56118.0
31053.0,14.0,14.0,0.32,,31053.0
34795.0,22.0,22.0,0.1142,,34795.0
,8.0,8.0,0.8681,0.2058,
58427.0,11.0,11.0,0.8028,0.8045,58427.0
36898.0,13.0,13.0,0.1633,,36898.0
65590.0,10.0,10.0,0.7977,0.7925,65590.0
38618.0,12.0,12.0,,,38618.0
38329.0,8.0,8.0,,,38329.0
35831.0,16.0,16.0,,,35831.0
22766.0,16.0,16.0,,,22766.0
34466.0,13.0,13.0,,,34466.0
49045.0,13.0,13.0,0.5106,0.7691,49045.0
39206.0,12.0,12.0,,,39206.0
69151.0,11.0,11.0,0.6575,0.8191,69151.0
20720.0,11.0,11.0,,,20720.0
41596.0,23.0,23.0,,,41596.0
59058.0,12.0,12.0,0.4928,0.6484,59058.0
48707.0,14.0,14.0,0.4063,0.7137,48707.0
83648.0,12.0,12.0,0.9317,0.1769,83648.0
25106.0,33.0,33.0,,,25106.0
67253.0,17.0,17.0,0.8157,0.8795,67253.0
78198.0,13.0,13.0,0.6776,0.9368,78198.0
59649.0,16.0,16.0,0.56,0.541,59649.0
53230.0,13.0,13.0,0.4645,0.6635,53230.0
37319.0,25.0,25.0,,,37319.0
41646.0,14.0,14.0,,,41646.0
35499.0,12.0,12.0,,,35499.0
36549.0,17.0,17.0,,,36549.0
36594.0,15.0,15.0,,,36594.0
47107.0,18.0,18.0,0.5292,0.7055,47107.0
38167.0,11.0,11.0,0.2429,,38167.0
63075.0,8.0,8.0,0.6262,0.7968,63075.0
37395.0,24.0,24.0,,,37395.0
58612.0,17.0,17.0,0.5764,0.9005,58612.0
47907.0,14.0,14.0,0.4406,0.8464,47907.0
22980.0,10.0,10.0,,,22980.0
41066.0,7.0,7.0,0.5429,0.7568,41066.0
30072.0,27.0,27.0,,,30072.0
30481.0,19.0,19.0,,,30481.0
30060.0,25.0,25.0,,,30060.0
49295.0,7.0,7.0,1.0,1.0,49295.0
51955.0,16.0,16.0,0.4996,0.7637,51955.0
42722.0,21.0,21.0,0.1672,,42722.0
57529.0,12.0,12.0,0.5119,0.6498,57529.0
40177.0,15.0,15.0,,,40177.0
37303.0,16.0,16.0,,,37303.0
51732.0,10.0,10.0,0.6,0.4732,51732.0
29376.0,5.0,5.0,,,29376.0
39864.0,12.0,12.0,0.3116,0.6657,39864.0
63450.0,,,,,63450.0
23043.0,13.0,13.0,,,23043.0
72081.0,12.0,12.0,,,72081.0
39449.0,17.0,17.0,,,39449.0
29079.0,25.0,25.0,,,29079.0
53493.0,14.0,14.0,0.6031,0.7532,53493.0
36115.0,11.0,11.0,,,36115.0
,13.0,13.0,,,
53562.0,16.0,16.0,0.5507,0.8455,53562.0
,,,,,
48300.0,8.0,8.0,1.0,,48300.0
49393.0,22.0,22.0,,,49393.0
47746.0,16.0,16.0,,,47746.0
48342.0,24.0,24.0,,,48342.0
58829.0,14.0,14.0,0.5563,0.7651,58829.0
45247.0,18.0,18.0,,,45247.0
42930.0,16.0,16.0,,,42930.0
53755.0,16.0,16.0,0.4994,0.7752,53755.0
46110.0,12.0,12.0,0.5652,0.585,46110.0
63764.0,12.0,12.0,0.7469,0.7249,63764.0
42162.0,18.0,18.0,,,42162.0
75525.0,8.0,8.0,0.9065,0.1663,75525.0
59317.0,12.0,12.0,0.6943,0.6553,59317.0
59871.0,13.0,13.0,0.5124,0.6909,59871.0
51938.0,23.0,23.0,,,51938.0
47491.0,9.0,9.0,0.7436,0.8372,47491.0
46449.0,19.0,19.0,,,46449.0
45591.0,18.0,18.0,,,45591.0
45285.0,19.0,19.0,,,45285.0
65607.0,11.0,11.0,0.7579,0.739,65607.0
61106.0,13.0,13.0,0.6905,0.8055,61106.0
,,,,,
49460.0,17.0,17.0,,,49460.0
45570.0,16.0,16.0,,,45570.0
34659.0,16.0,16.0,,,34659.0
49898.0,19.0,19.0,,,49898.0
,,,,,
63878.0,10.0,10.0,0.8792,0.2842,63878.0
45068.0,15.0,15.0,,,45068.0
56922.0,21.0,21.0,0.5258,0.7068,56922.0
79652.0,4.0,4.0,,0.6364,79652.0
64705.0,14.0,14.0,0.325,0.817,64705.0
69020.0,16.0,16.0,0.8436,0.7491,69020.0
58056.0,17.0,17.0,0.5333,0.5722,58056.0
40873.0,9.0,9.0,0.5767,0.5689,40873.0
40086.0,22.0,22.0,,,40086.0
36909.0,14.0,14.0,0.7097,0.9429,36909.0
31961.0,13.0,13.0,,,31961.0
62616.0,16.0,16.0,0.6223,0.807,62616.0
50919.0,9.0,9.0,0.5806,0.7766,50919.0
25410.0,10.0,10.0,,,25410.0
50527.0,17.0,17.0,0.5544,0.5662,50527.0
51142.0,21.0,21.0,,,51142.0
50207.0,27.0,27.0,,,50207.0
45064.0,11.0,11.0,0.5911,0.9081,45064.0
44425.0,14.0,14.0,,,44425.0
50755.0,15.0,15.0,0.7027,0.9251,50755.0
48666.0,4.0,4.0,0.0,,48666.0
35983.0,10.0,10.0,0.5263,,35983.0
41232.0,23.0,23.0,,,41232.0
45287.0,20.0,20.0,,,45287.0
63260.0,11.0,11.0,0.7833,0.878,63260.0
46874.0,20.0,20.0,,,46874.0
55813.0,16.0,16.0,0.4437,0.9528,55813.0
76786.0,11.0,11.0,0.757,0.8624,76786.0
58170.0,17.0,17.0,0.6537,0.9683,58170.0
65543.0,12.0,12.0,0.8479,0.5641,65543.0
48057.0,17.0,17.0,0.5166,0.6659,48057.0
65934.0,10.0,10.0,0.6719,0.9661,65934.0
73739.0,13.0,13.0,0.796,0.77,73739.0
23589.0,18.0,18.0,,,23589.0
59282.0,10.0,10.0,0.6388,0.9253,59282.0
39080.0,13.0,13.0,0.4847,,39080.0
38399.0,21.0,21.0,,,38399.0
51342.0,15.0,15.0,0.4079,0.9159,51342.0
22606.0,14.0,14.0,,,22606.0
,,,,,
61511.0,12.0,12.0,0.4734,0.9804,61511.0
43827.0,19.0,19.0,,,43827.0
43613.0,17.0,17.0,,,43613.0
58532.0,16.0,16.0,0.6047,0.7375,58532.0
,,,,,
46424.0,23.0,23.0,,,46424.0
36421.0,16.0,16.0,0.4733,0.2993,36421.0
46440.0,9.0,9.0,0.4558,0.426,46440.0
40421.0,14.0,14.0,0.3945,0.957,40421.0
18468.0,20.0,20.0,,,18468.0
24289.0,19.0,19.0,,,24289.0
31241.0,20.0,20.0,,,31241.0
41991.0,10.0,10.0,0.4636,0.9861,41991.0
32421.0,17.0,17.0,,,32421.0
33772.0,18.0,18.0,,,33772.0
,15.0,15.0,,,
22284.0,15.0,15.0,,,22284.0
30774.0,13.0,13.0,,,30774.0
32922.0,17.0,17.0,,,32922.0
32912.0,20.0,20.0,,,32912.0
39060.0,15.0,15.0,0.3482,0.8864,39060.0
33377.0,25.0,25.0,,,33377.0
31002.0,15.0,15.0,,,31002.0
53848.0,9.0,9.0,0.5675,0.6783,53848.0
28421.0,17.0,17.0,,,28421.0
50994.0,16.0,16.0,0.6779,0.9738,50994.0
46128.0,11.0,11.0,0.3702,0.9911,46128.0
31919.0,12.0,12.0,0.2577,0.6478,31919.0
47485.0,13.0,13.0,0.6228,0.3999,47485.0
13849.0,18.0,18.0,,,13849.0
33017.0,22.0,22.0,,,33017.0
51513.0,16.0,16.0,0.631,0.7519,51513.0
34081.0,22.0,22.0,,,34081.0
36396.0,21.0,21.0,,,36396.0
33019.0,24.0,24.0,,,33019.0
32275.0,8.0,8.0,0.2469,0.7876,32275.0
26946.0,8.0,8.0,0.8,,26946.0
33227.0,22.0,22.0,,,33227.0
44140.0,15.0,15.0,0.5168,0.9884,44140.0
34724.0,9.0,9.0,0.3085,0.4931,34724.0
,16.0,16.0,,,
,11.0,11.0,,,
43087.0,13.0,13.0,0.4167,0.5358,43087.0
,,,,,
52773.0,10.0,10.0,0.5099,0.6763,52773.0
38641.0,11.0,11.0,0.3875,,38641.0
24840.0,25.0,25.0,,,24840.0
56867.0,8.0,8.0,0.6667,0.3333,56867.0
45421.0,8.0,8.0,0.5926,0.6316,45421.0
44369.0,12.0,12.0,,,44369.0
34675.0,9.0,9.0,0.2714,,34675.0
48991.0,13.0,13.0,0.5187,0.9786,48991.0
49560.0,19.0,19.0,0.5273,0.7134,49560.0
40665.0,5.0,5.0,,1.0,40665.0
52304.0,9.0,9.0,0.3333,0.8667,52304.0
45378.0,20.0,20.0,0.4283,,45378.0
50430.0,2.0,2.0,0.0909,1.0,50430.0
,,,,,
35422.0,7.0,7.0,0.5638,0.7302,35422.0
,,,,,
35987.0,13.0,13.0,,,35987.0
46092.0,14.0,14.0,0.4831,0.9695,46092.0
40694.0,12.0,12.0,0.6359,0.6343,40694.0
36916.0,14.0,14.0,,,36916.0
,,,,,
34213.0,26.0,26.0,,,34213.0
46573.0,11.0,11.0,0.7171,0.6791,46573.0
48825.0,9.0,9.0,0.5797,0.9443,48825.0
48199.0,8.0,8.0,,,48199.0
36455.0,16.0,16.0,0.3037,,36455.0
42643.0,11.0,11.0,0.3867,0.6711,42643.0
31088.0,8.0,8.0,0.2006,,31088.0
17269.0,25.0,25.0,,,17269.0
24811.0,11.0,11.0,,,24811.0
40782.0,15.0,15.0,,,40782.0
27715.0,24.0,24.0,,,27715.0
84393.0,10.0,10.0,,,84393.0
37032.0,10.0,10.0,0.5679,0.5848,37032.0
,,,0.8333,,
,,,,,
52142.0,3.0,3.0,,1.0,52142.0
39463.0,15.0,15.0,0.2898,,39463.0
53278.0,13.0,13.0,0.5423,0.7402,53278.0
55901.0,18.0,18.0,,,55901.0
55838.0,9.0,9.0,,0.8182,55838.0
40796.0,13.0,13.0,,,40796.0
62105.0,13.0,13.0,0.6679,0.8776,62105.0
26738.0,18.0,18.0,,,26738.0
30414.0,14.0,14.0,,0.5882,30414.0
50535.0,17.0,17.0,0.4091,0.9429,50535.0
35352.0,20.0,20.0,,,35352.0
46660.0,19.0,19.0,0.4071,0.709,46660.0
42620.0,17.0,17.0,0.3561,0.9948,42620.0
43221.0,13.0,13.0,0.2294,0.6124,43221.0
42647.0,17.0,17.0,0.413,,42647.0
63403.0,18.0,18.0,0.753,0.7913,63403.0
59637.0,14.0,14.0,0.5538,0.6948,59637.0
82957.0,18.0,18.0,0.6167,0.8149,82957.0
53037.0,13.0,13.0,0.5158,0.5111,53037.0
37537.0,25.0,25.0,,,37537.0
,,,,,
18280.0,14.0,14.0,,,18280.0
56280.0,13.0,13.0,0.7102,0.4505,56280.0
47885.0,18.0,18.0,0.5394,0.8556,47885.0
41297.0,15.0,15.0,0.5263,0.9443,41297.0
41592.0,15.0,15.0,0.625,0.2113,41592.0
56309.0,14.0,14.0,0.2323,,56309.0
29058.0,6.0,6.0,0.8,1.0,29058.0
37750.0,3.0,3.0,,,37750.0
55955.0,11.0,11.0,0.5182,,55955.0
85910.0,6.0,6.0,,,85910.0
67102.0,13.0,13.0,0.7711,0.6646,67102.0
70783.0,9.0,9.0,0.8123,0.8471,70783.0
18275.0,17.0,17.0,,,18275.0
137047.0,7.0,7.0,0.7333,0.9158,137047.0
35325.0,18.0,18.0,,,35325.0
,,,,,
43112.0,11.0,11.0,0.4313,0.9955,43112.0
36922.0,13.0,13.0,,,36922.0
32217.0,20.0,20.0,,,32217.0
35562.0,17.0,17.0,,,35562.0
43071.0,8.0,8.0,0.4563,0.6415,43071.0
44030.0,20.0,20.0,0.5633,0.8631,44030.0
49827.0,19.0,19.0,0.5822,0.9256,49827.0
32442.0,22.0,22.0,,,32442.0
40837.0,19.0,19.0,,,40837.0
,,,,,
86182.0,7.0,7.0,0.9369,0.1176,86182.0
50876.0,12.0,12.0,0.5866,0.551,50876.0
52199.0,9.0,9.0,0.6356,0.7528,52199.0
59268.0,10.0,10.0,0.6224,0.4099,59268.0
42401.0,9.0,9.0,0.5098,0.6147,42401.0
,19.0,19.0,,,
22953.0,14.0,14.0,0.0106,,22953.0
,9.0,9.0,,,
54329.0,13.0,13.0,,,54329.0
14047.0,23.0,23.0,,,14047.0
61772.0,12.0,12.0,0.7012,0.7808,61772.0
41951.0,13.0,13.0,,,41951.0
20073.0,12.0,12.0,,,20073.0
44296.0,15.0,15.0,0.2855,,44296.0
38520.0,10.0,10.0,,,38520.0
30528.0,10.0,10.0,0.2857,,30528.0
14747.0,15.0,15.0,,,14747.0
38034.0,14.0,14.0,,,38034.0
48296.0,7.0,7.0,0.4105,0.9548,48296.0
40738.0,15.0,15.0,,,40738.0
21152.0,12.0,12.0,,,21152.0
42862.0,12.0,12.0,,,42862.0
54329.0,13.0,13.0,0.5659,0.8947,54329.0
53263.0,18.0,18.0,0.5682,0.7333,53263.0
44511.0,17.0,17.0,0.4644,0.9538,44511.0
49505.0,14.0,14.0,0.292,,49505.0
49036.0,13.0,13.0,0.4583,0.7517,49036.0
32725.0,5.0,5.0,0.616,,32725.0
43229.0,15.0,15.0,0.4526,0.3631,43229.0
61289.0,13.0,13.0,0.4074,,61289.0
64876.0,15.0,15.0,0.7188,0.5606,64876.0
70845.0,9.0,9.0,0.72,0.6757,70845.0
39429.0,15.0,15.0,,,39429.0
47002.0,16.0,16.0,0.4424,,47002.0
28376.0,10.0,10.0,,,28376.0
52415.0,12.0,12.0,0.5906,0.9084,52415.0
73911.0,11.0,11.0,0.7847,0.7569,73911.0
53316.0,10.0,10.0,0.6139,0.7583,53316.0
51303.0,12.0,12.0,0.5458,0.7133,51303.0
48110.0,8.0,8.0,,,48110.0
23032.0,9.0,9.0,,,23032.0
50105.0,13.0,13.0,0.5412,0.8599,50105.0
65071.0,12.0,12.0,0.7209,0.9053,65071.0
38773.0,14.0,14.0,,,38773.0
40059.0,11.0,11.0,,,40059.0
52163.0,14.0,14.0,0.4375,0.649,52163.0
53909.0,15.0,15.0,0.4919,0.8586,53909.0
31458.0,5.0,5.0,,,31458.0
76833.0,2.0,2.0,,,76833.0
56405.0,11.0,11.0,0.5905,0.8148,56405.0
56887.0,16.0,16.0,0.6494,0.7864,56887.0
42634.0,17.0,17.0,,,42634.0
47071.0,20.0,20.0,0.3385,,47071.0
,3.0,3.0,0.5714,0.6667,
54338.0,8.0,8.0,0.6667,0.6458,54338.0
43405.0,11.0,11.0,,,43405.0
55045.0,8.0,8.0,0.5613,0.9883,55045.0
56887.0,22.0,22.0,,,56887.0
47075.0,22.0,22.0,0.5121,,47075.0
38729.0,17.0,17.0,,,38729.0
44130.0,11.0,11.0,0.433,0.5729,44130.0
24391.0,15.0,15.0,,,24391.0
37565.0,14.0,14.0,,,37565.0
38087.0,17.0,17.0,0.169,,38087.0
31398.0,19.0,19.0,0.65,,31398.0
55037.0,18.0,18.0,0.4716,0.8531,55037.0
60614.0,18.0,18.0,0.6182,0.8562,60614.0
39289.0,17.0,17.0,0.4826,,39289.0
44573.0,18.0,18.0,0.2608,,44573.0
41987.0,17.0,17.0,0.3423,,41987.0
46474.0,10.0,10.0,0.6032,0.7801,46474.0
97434.0,7.0,7.0,0.9471,0.0638,97434.0
33546.0,11.0,11.0,,,33546.0
,16.0,16.0,,,
53353.0,12.0,12.0,0.5165,0.9272,53353.0
66479.0,,,,,66479.0
,12.0,12.0,,,
35809.0,8.0,8.0,0.7917,0.9796,35809.0
42092.0,7.0,7.0,0.3086,0.9994,42092.0
,7.0,7.0,,,
50318.0,22.0,22.0,0.4138,0.9637,50318.0
,10.0,10.0,,,
66479.0,16.0,16.0,0.7788,0.8699,66479.0
54368.0,15.0,15.0,0.5931,0.8953,54368.0
66479.0,7.0,7.0,0.6324,0.8528,66479.0
57304.0,17.0,17.0,0.5084,0.9755,57304.0
48943.0,9.0,9.0,,,48943.0
35037.0,7.0,7.0,,,35037.0
44700.0,6.0,6.0,,,44700.0
51182.0,8.0,8.0,,,51182.0
49063.0,11.0,11.0,,,49063.0
46164.0,10.0,10.0,,,46164.0
42397.0,11.0,11.0,,,42397.0
,15.0,15.0,,,
52248.0,15.0,15.0,0.5769,0.8447,52248.0
73371.0,11.0,11.0,0.853,0.823,73371.0
,6.0,6.0,,,
51254.0,14.0,14.0,0.1489,,51254.0
53565.0,9.0,9.0,0.7,,53565.0
39762.0,23.0,23.0,,,39762.0
,5.0,5.0,,,
34241.0,14.0,14.0,,,34241.0
36920.0,15.0,15.0,,,36920.0
46624.0,19.0,19.0,,,46624.0
40251.0,14.0,14.0,0.4413,,40251.0
47544.0,22.0,22.0,,,47544.0
45902.0,13.0,13.0,0.3446,0.7818,45902.0
44379.0,18.0,18.0,,,44379.0
44745.0,18.0,18.0,,,44745.0
53843.0,13.0,13.0,0.68,0.6637,53843.0
41212.0,23.0,23.0,,,41212.0
53726.0,13.0,13.0,0.616,0.9654,53726.0
49739.0,19.0,19.0,,,49739.0
31914.0,13.0,13.0,,,31914.0
28710.0,24.0,24.0,,,28710.0
50243.0,17.0,17.0,,,50243.0
41751.0,23.0,23.0,,,41751.0
63646.0,12.0,12.0,0.7371,0.7266,63646.0
46396.0,15.0,15.0,,,46396.0
37230.0,24.0,24.0,,,37230.0
23925.0,12.0,12.0,,,23925.0
57273.0,13.0,13.0,0.5105,0.8409,57273.0
57602.0,13.0,13.0,0.5158,0.8915,57602.0
57273.0,9.0,9.0,0.611,0.8912,57273.0
43917.0,12.0,12.0,,,43917.0
53096.0,10.0,10.0,0.5385,0.7579,53096.0
59988.0,16.0,16.0,0.6815,0.7694,59988.0
41751.0,24.0,24.0,,,41751.0
24397.0,17.0,17.0,,,24397.0
51725.0,10.0,10.0,0.6129,,51725.0
87408.0,9.0,9.0,,0.2,87408.0
34333.0,22.0,22.0,,,34333.0
52745.0,15.0,15.0,0.3864,0.9014,52745.0
33959.0,6.0,6.0,,0.7952,33959.0
57237.0,16.0,16.0,0.5127,0.826,57237.0
46396.0,30.0,30.0,,,46396.0
29601.0,25.0,25.0,,,29601.0
43264.0,16.0,16.0,,,43264.0
46861.0,19.0,19.0,,,46861.0
67991.0,12.0,12.0,0.6817,0.9092,67991.0
61415.0,17.0,17.0,0.6536,0.9131,61415.0
73894.0,10.0,10.0,,1.0,73894.0
42827.0,13.0,13.0,,,42827.0
,,,,,
18123.0,16.0,16.0,,,18123.0
84276.0,15.0,15.0,0.7371,0.6599,84276.0
45210.0,18.0,18.0,,,45210.0
26800.0,25.0,25.0,,,26800.0
27767.0,18.0,18.0,,,27767.0
36972.0,15.0,15.0,,,36972.0
42013.0,19.0,19.0,,,42013.0
,,,,,
110066.0,5.0,5.0,0.9732,0.057,110066.0
34990.0,11.0,11.0,0.275,0.9467,34990.0
67541.0,16.0,16.0,0.6953,0.7047,67541.0
27359.0,10.0,10.0,,,27359.0
62208.0,10.0,10.0,0.6655,0.8413,62208.0
74479.0,13.0,13.0,0.6478,0.7652,74479.0
74479.0,15.0,15.0,0.8446,0.6629,74479.0
74479.0,13.0,13.0,0.6624,0.7394,74479.0
,5.0,5.0,,,
,9.0,9.0,,,
57815.0,11.0,11.0,0.6022,0.8883,57815.0
38020.0,15.0,15.0,,,38020.0
70196.0,14.0,14.0,0.7169,0.7507,70196.0
21377.0,13.0,13.0,,,21377.0
53038.0,11.0,11.0,0.4371,0.7192,53038.0
48145.0,19.0,19.0,,,48145.0
108772.0,11.0,11.0,0.8786,0.4622,108772.0
57602.0,16.0,16.0,0.7608,0.8554,57602.0
40344.0,18.0,18.0,0.2,0.6667,40344.0
73971.0,20.0,20.0,,,73971.0
69331.0,15.0,15.0,,,69331.0
73323.0,13.0,13.0,0.8576,0.6443,73323.0
41595.0,22.0,22.0,,,41595.0
57780.0,15.0,15.0,0.5598,0.9153,57780.0
23991.0,18.0,18.0,,,23991.0
36869.0,20.0,20.0,,,36869.0
26364.0,8.0,8.0,0.0881,,26364.0
39067.0,20.0,20.0,,,39067.0
34020.0,17.0,17.0,,,34020.0
38550.0,16.0,16.0,0.4132,0.2755,38550.0
38550.0,24.0,24.0,,,38550.0
24505.0,9.0,9.0,0.2727,1.0,24505.0
45937.0,10.0,10.0,0.2548,,45937.0
34233.0,17.0,17.0,,,34233.0
57410.0,12.0,12.0,,0.5607,57410.0
44792.0,36.0,36.0,,,44792.0
76489.0,9.0,9.0,0.5503,0.7443,76489.0
44792.0,23.0,23.0,,,44792.0
44792.0,17.0,17.0,0.517,0.9607,44792.0
39067.0,11.0,11.0,,,39067.0
39067.0,13.0,13.0,,,39067.0
39067.0,17.0,17.0,,,39067.0
39067.0,16.0,16.0,0.509,0.7805,39067.0
44792.0,19.0,19.0,,,44792.0
38112.0,12.0,12.0,0.3955,,38112.0
36513.0,12.0,12.0,,,36513.0
38005.0,11.0,11.0,,,38005.0
45389.0,19.0,19.0,0.266,,45389.0
,,,,,
27660.0,7.0,7.0,,,27660.0
44792.0,36.0,36.0,,,44792.0
32272.0,12.0,12.0,,,32272.0
,15.0,15.0,,,
39095.0,11.0,11.0,0.3106,,39095.0
64973.0,14.0,14.0,0.3957,,64973.0
75482.0,12.0,12.0,0.6746,0.7278,75482.0
41267.0,15.0,15.0,,,41267.0
32568.0,13.0,13.0,0.3333,,32568.0
131426.0,8.0,8.0,0.6144,0.6629,131426.0
,,,,,
,,,,,
54897.0,10.0,10.0,0.5348,0.5061,54897.0
34186.0,19.0,19.0,,,34186.0
22782.0,3.0,3.0,,0.5994,22782.0
27019.0,8.0,8.0,,0.8107,27019.0
54695.0,26.0,26.0,,,54695.0
17071.0,18.0,18.0,,0.608,17071.0
26975.0,5.0,5.0,0.7045,0.2585,26975.0
41093.0,18.0,18.0,,,41093.0
70775.0,4.0,4.0,,0.5882,70775.0
17686.0,18.0,18.0,0.7917,0.9925,17686.0
,,,,,
46543.0,9.0,9.0,0.716,0.4608,46543.0
80516.0,10.0,10.0,0.9155,0.0879,80516.0
49748.0,14.0,14.0,,,49748.0
45884.0,22.0,22.0,0.3528,,45884.0
,15.0,15.0,,,
,11.0,11.0,0.0909,0.8621,
96980.0,8.0,8.0,1.0,,96980.0
17992.0,10.0,10.0,,,17992.0
35348.0,20.0,20.0,0.8864,,35348.0
18753.0,14.0,14.0,,,18753.0
21111.0,16.0,16.0,,,21111.0
,,,,,
39710.0,19.0,19.0,,,39710.0
32568.0,16.0,16.0,0.3419,,32568.0
32568.0,11.0,11.0,0.3111,,32568.0
32568.0,12.0,12.0,0.2128,,32568.0
60681.0,11.0,11.0,0.6616,0.7773,60681.0
30190.0,12.0,12.0,,,30190.0
104403.0,17.0,17.0,,,104403.0
38709.0,22.0,22.0,,,38709.0
49555.0,12.0,12.0,0.5528,0.751,49555.0
35023.0,30.0,30.0,0.1071,0.916,35023.0
,30.0,30.0,,,
39899.0,2.0,2.0,,0.1062,39899.0
89696.0,14.0,14.0,0.7252,0.7842,89696.0
39246.0,14.0,14.0,,,39246.0
99503.0,4.0,4.0,,,99503.0
,,,,,
85139.0,9.0,9.0,0.9125,0.1243,85139.0
46236.0,11.0,11.0,0.36,0.6549,46236.0
102491.0,6.0,6.0,0.9525,0.0395,102491.0
44441.0,16.0,16.0,,,44441.0
24397.0,18.0,18.0,,,24397.0
23906.0,20.0,20.0,,,23906.0
83847.0,9.0,9.0,0.8349,0.2247,83847.0
104043.0,9.0,9.0,0.9529,0.0747,104043.0
104043.0,,,,,104043.0
38817.0,27.0,27.0,,,38817.0
83972.0,9.0,9.0,,0.5294,83972.0
47475.0,20.0,20.0,0.707,0.9486,47475.0
75971.0,19.0,19.0,0.7357,0.4953,75971.0
42306.0,18.0,18.0,,,42306.0
41307.0,14.0,14.0,,,41307.0
60752.0,13.0,13.0,0.5492,0.5454,60752.0
53501.0,16.0,16.0,0.3473,,53501.0
66039.0,14.0,14.0,0.585,0.666,66039.0
65991.0,11.0,11.0,,0.2381,65991.0
40485.0,13.0,13.0,,,40485.0
63163.0,14.0,14.0,0.5636,0.4786,63163.0
56195.0,16.0,16.0,0.5362,0.5066,56195.0
42621.0,19.0,19.0,,,42621.0
41653.0,18.0,18.0,,,41653.0
58013.0,15.0,15.0,0.5372,0.5531,58013.0
46498.0,13.0,13.0,0.2398,0.8765,46498.0
49365.0,15.0,15.0,0.2133,0.818,49365.0
62763.0,14.0,14.0,0.563,0.6948,62763.0
44214.0,15.0,15.0,,,44214.0
,,,,,
56945.0,14.0,14.0,0.3333,0.5914,56945.0
,6.0,6.0,,0.6875,
66942.0,7.0,7.0,0.6569,0.8404,66942.0
61808.0,12.0,12.0,0.5499,0.7994,61808.0
,9.0,9.0,0.3333,0.6667,
61171.0,13.0,13.0,0.5336,0.8897,61171.0
